gauge,start_index,end_index,length
003303A,12,47,36
003303A,49,63,15
102101A,10,26,17
102101A,28,29,2
102101A,35,36,2
102101A,38,42,5
102101A,44,49,6
102101A,51,54,4
105101A,10,28,19
105101A,30,63,34
105105A,12,28,17
105105A,30,63,34
107001B,10,28,19
107001B,30,31,2
107001B,39,44,6
107001B,48,56,9
108002A,11,30,20
108002A,33,34,2
108002A,36,42,7
108002A,45,48,4
108002A,50,62,13
108003A,13,50,38
111005A,9,39,31
111005A,41,46,6
111005A,49,63,15
111007A,15,63,49
112002A,1,60,60
112101B,17,45,29
112101B,47,63,17
112102A,13,62,50
113004A,9,36,28
113004A,38,60,23
114001A,13,62,50
116006B,12,63,52
116010A,3,42,40
116010A,45,63,19
116011A,5,63,59
116012A,4,56,53
116013A,4,63,60
116014A,4,63,60
116015A,9,63,55
117002A,16,63,48
117003A,16,61,46
118106A,17,61,45
119003A,12,63,52
120102A,10,60,51
120301B,19,63,45
120304A,10,37,28
120304A,39,45,7
120304A,49,63,15
121001A,1,37,37
121001A,39,43,5
121001A,46,50,5
121001A,52,56,5
121002A,16,62,47
121003A,27,63,37
122004A,15,63,49
124002A,16,60,45
125005A,16,63,48
126003A,16,61,46
129001A,1,4,4
129001A,7,62,56
130004A,6,63,58
130302A,1,63,63
130324A,9,63,55
130403A,8,63,56
130410A,13,63,51
130413A,14,63,50
132001A,1,63,63
135002A,8,63,56
135004A,8,63,56
136006A,8,63,56
136202D,7,63,57
136203A,1,30,30
136203A,32,63,32
136208A,11,63,53
136304A,8,63,56
137101A,9,31,23
137101A,38,45,8
137101A,47,63,17
137201A,9,63,55
138004B,17,33,17
138004B,35,38,4
138004B,40,47,8
138004B,50,56,7
138009A,17,63,47
138110A,2,63,62
138113A,14,36,23
138113A,41,43,3
138113A,47,56,10
138903A,24,63,40
140002A,19,33,15
140002A,37,63,27
141008A,24,62,39
143007A,7,12,6
143007A,14,15,2
143007A,21,31,11
143007A,33,63,31
143009A,5,63,59
143107A,4,9,6
143107A,18,41,24
143107A,46,63,18
143110A,14,18,5
143110A,20,31,12
143110A,33,63,31
143209B,10,25,16
143209B,32,38,7
143209B,41,63,23
143303A,1,18,18
143303A,21,30,10
143303A,32,55,24
143303A,57,63,7
145010A,8,63,56
145011A,9,63,55
145018A,13,31,19
145018A,33,41,9
145018A,44,63,20
145101D,1,63,63
145102B,1,22,22
145102B,27,47,21
145102B,49,60,12
145102B,62,63,2
145107A,16,63,48
146010A,5,63,59
146012A,13,24,12
146012A,27,28,2
146012A,32,63,32
146014A,14,23,10
146014A,27,56,30
146095A,14,25,12
146095A,27,63,37
201001,1,4,4
201001,8,9,2
201001,12,17,6
201001,19,26,8
201001,28,63,36
203005,14,20,7
203005,24,25,2
203005,27,63,37
203010,10,26,17
203010,31,32,2
203010,34,63,30
203030,22,63,42
204002,8,9,2
204002,12,15,4
204002,17,23,7
204002,25,29,5
204002,33,63,31
204007,14,23,10
204007,26,30,5
204007,32,63,32
204014,15,17,3
204014,19,30,12
204014,37,51,15
204014,56,63,8
204017,14,18,5
204017,20,25,6
204017,27,59,33
204025,14,15,2
204025,20,28,9
204025,30,48,19
204025,51,63,13
204030,20,21,2
204030,23,28,6
204030,32,63,32
204034,14,15,2
204034,17,24,8
204034,26,39,14
204034,41,56,16
204036,1,10,10
204036,12,13,2
204036,15,17,3
204036,19,22,4
204036,25,56,32
204036,60,63,4
204037,14,15,2
204037,17,18,2
204037,20,63,44
204039,29,33,5
204039,35,39,5
204039,41,59,19
204039,61,63,3
204041,13,16,4
204041,23,25,3
204041,28,52,25
204041,54,63,10
204046,13,14,2
204046,17,30,14
204046,34,63,30
204051,19,24,6
204051,28,30,3
204051,32,59,28
204051,62,63,2
204056,18,23,6
204056,25,30,6
204056,32,61,30
204906,19,30,12
204906,32,63,32
206009,1,12,12
206009,14,19,6
206009,21,37,17
206009,39,63,25
206014,2,27,26
206014,29,38,10
206014,42,63,22
206018,3,8,6
206018,10,12,3
206018,14,50,37
206018,52,63,12
206025,15,18,4
206025,21,63,43
207004,18,22,5
207004,24,25,2
207004,28,63,36
207013,18,20,3
207013,22,30,9
207013,32,33,2
207013,35,63,29
207014,29,37,9
207014,39,63,25
207015,27,63,37
208003,1,4,4
208003,6,8,3
208003,10,12,3
208003,14,17,4
208003,19,24,6
208003,27,30,4
208003,33,63,31
208004,5,8,4
208004,14,24,11
208004,26,30,5
208004,33,63,31
208005,1,2,2
208005,5,9,5
208005,14,16,3
208005,18,30,13
208005,33,46,14
208005,48,63,16
208007,1,8,8
208007,14,17,4
208007,19,24,6
208007,26,31,6
208007,33,48,16
208007,51,63,13
208009,1,2,2
208009,9,17,9
208009,19,32,14
208009,34,42,9
208009,47,63,17
208011,8,14,7
208011,17,29,13
208011,32,33,2
208011,36,37,2
208011,39,62,24
208015,12,23,12
208015,27,61,35
208024,25,43,19
208024,49,63,15
208026,27,31,5
208026,33,51,19
208026,53,63,11
209002,10,11,2
209002,13,15,3
209002,18,44,27
209002,46,58,13
209002,60,63,4
209003,11,22,12
209003,24,28,5
209003,35,36,2
209003,38,63,26
210006,1,12,12
210006,14,18,5
210006,20,25,6
210006,28,39,12
210006,44,56,13
210011,2,8,7
210011,10,17,8
210011,19,22,4
210011,24,25,2
210011,27,30,4
210011,36,63,28
210014,2,15,14
210014,20,39,20
210014,42,43,2
210014,47,51,5
210014,53,63,11
210016,1,10,10
210016,21,25,5
210016,31,33,3
210016,38,42,5
210016,44,63,20
210017,1,10,10
210017,12,14,3
210017,22,25,4
210017,29,30,2
210017,33,35,3
210017,38,40,3
210017,43,59,17
210017,62,63,2
210022,1,3,3
210022,5,15,11
210022,18,20,3
210022,22,33,12
210022,36,49,14
210022,51,63,13
210031,1,27,27
210031,29,35,7
210031,40,63,24
210040,1,2,2
210040,5,13,9
210040,15,35,21
210040,37,41,5
210040,46,63,18
210052,1,17,17
210052,21,27,7
210052,29,37,9
210052,47,63,17
211009,15,17,3
211009,21,29,9
211009,35,63,29
211013,21,31,11
211013,34,63,30
211014,19,23,5
211014,26,29,4
211014,31,39,9
211014,41,63,23
212040,26,33,8
212040,36,41,6
212040,43,60,18
212260,11,14,4
212260,16,21,6
212260,25,27,3
212260,30,35,6
212260,41,44,4
212260,46,60,15
215002,12,18,7
215002,27,28,2
215002,32,42,11
215002,44,46,3
215002,49,55,7
215004,6,9,4
215004,23,26,4
215004,28,33,6
215004,39,43,5
215004,45,48,4
215004,51,61,11
215207,21,24,4
215207,26,30,5
215207,32,52,21
215207,54,60,7
216002,3,8,6
216002,14,20,7
216002,22,23,2
216002,31,61,31
216009,28,33,6
216009,35,63,29
218001,13,63,51
218005,7,60,54
218007,17,63,47
218008,20,25,6
218008,27,63,37
219001,1,60,60
219003,1,63,63
219006,1,63,63
219017,9,63,55
219022,14,25,12
219022,27,63,37
220003,9,63,55
221002,14,16,3
221002,19,24,6
221002,26,63,38
221201,1,63,63
221207,11,12,2
221207,14,63,50
221208,22,63,42
221209,15,63,49
221210,15,63,49
221211,17,63,47
221212,18,63,46
222004,1,63,63
222016,18,19,2
222016,21,25,5
222016,28,37,10
222016,39,44,6
222016,46,52,7
222016,54,57,4
222016,59,63,5
222202,1,7,7
222202,9,62,54
222206,1,63,63
222210,7,12,6
222210,16,53,38
222210,55,57,3
222210,59,61,3
222213,1,50,50
222213,55,57,3
222213,62,63,2
222217,19,63,45
223202,1,63,63
223204,4,47,44
223204,49,61,13
223205,8,61,54
224201,8,62,55
224203,1,61,61
224206,3,62,60
224213,16,51,36
224213,53,56,4
224213,58,63,6
224214,17,48,32
224214,50,60,11
224214,62,63,2
225020A,5,23,19
225020A,38,46,9
225020A,50,54,5
225201,19,61,43
225209,6,48,43
225209,50,61,12
225213,6,58,53
225213,60,63,4
225218,10,63,54
225219,10,47,38
225219,50,63,14
225221,11,25,15
225221,30,40,11
225221,43,47,5
225221,50,59,10
225223,14,31,18
225223,34,55,22
225223,57,60,4
225224,15,48,34
225224,50,61,12
226023,3,13,11
226023,20,39,20
226023,42,54,13
226023,57,61,5
226204,1,63,63
226205,1,37,37
226205,39,61,23
226209,3,63,61
226218,1,61,61
226220,1,32,32
226220,34,35,2
226220,39,54,16
226220,60,63,4
226222,14,29,16
226222,36,47,12
226222,51,55,5
226226,3,63,61
226402,1,63,63
226407,1,11,11
226407,15,28,14
226407,38,47,10
226407,49,54,6
226407,56,61,6
226410,5,53,49
226410,56,63,8
227200,8,55,48
227200,59,62,4
227202,1,62,62
227205,8,61,54
227210,1,61,61
227211,3,63,61
227213,3,60,58
227219,9,50,42
227219,52,63,12
227225,11,50,40
227225,52,63,12
227226,13,63,51
227227,16,59,44
227231,16,63,48
227236,22,57,36
227236,59,63,5
227237,22,63,42
230205,2,5,4
230205,7,52,46
230205,54,63,10
230209,9,52,44
230209,54,61,8
230210,11,43,33
230210,45,63,19
231211,21,63,43
231213,2,53,52
231213,56,58,3
231213,60,63,4
231225,16,59,44
231231,22,57,36
232214,20,61,42
232215,20,61,42
233214,1,61,61
233223,13,52,40
233223,54,58,5
234200,1,2,2
234200,7,9,3
234200,12,63,52
234201,6,63,58
234203,16,63,48
234209,18,60,43
235202,2,7,6
235202,9,10,2
235202,12,63,52
235203,18,63,46
235204,1,2,2
235204,11,14,4
235204,19,47,29
235204,49,56,8
235205,1,62,62
235209,7,60,54
235210,8,51,44
235210,53,63,11
235211,7,49,43
235211,51,53,3
235211,55,63,9
235219,10,60,51
235224,12,63,52
235227,17,58,42
235233,20,61,42
235234,22,61,40
235237,25,58,34
235237,60,63,4
236202,9,60,52
236203,1,60,60
236204,1,59,59
236205,9,63,55
236209,1,61,61
236210,1,61,61
236212,18,63,46
236213,17,49,33
236213,51,63,13
236216,20,51,32
236216,54,61,8
237200,1,61,61
237202,11,63,53
237205,12,60,49
237205,62,63,2
237206,16,63,48
237207,18,63,46
238204,13,63,51
238208,1,63,63
238219,11,61,51
238223,17,50,34
238223,52,63,12
238229,13,57,45
238229,59,63,5
238230,17,63,47
238231,22,60,39
238231,62,63,2
238235,13,63,51
302200,9,12,4
302200,19,21,3
302200,23,31,9
302200,35,39,5
302200,41,42,2
302200,44,63,20
302208,13,63,51
303203,14,33,20
303203,35,39,5
303203,41,63,23
304040,1,63,63
304497,7,63,57
304499,8,63,56
305202,18,63,46
306119,1,31,31
306119,33,34,2
306119,37,39,3
306119,42,50,9
307473,7,17,11
307473,19,22,4
307473,26,58,33
308145,1,43,43
308145,49,50,2
308145,55,62,8
308799,23,63,41
312061,1,63,63
314207,6,39,34
314207,42,46,5
314207,48,49,2
314207,51,57,7
314207,60,63,4
314212,11,48,38
314212,50,57,8
314212,59,63,5
314213,14,37,24
314213,40,46,7
314213,49,63,15
314214,9,34,26
314214,36,63,28
315450,5,63,59
316624,15,63,49
317200,10,57,48
317200,59,63,5
318076,1,21,21
318076,23,46,24
318076,49,51,3
318076,53,57,5
318076,59,63,5
318150,15,27,13
318150,29,63,35
318181,1,63,63
318191,26,45,20
318191,47,63,17
319204,15,42,28
319204,45,63,19
401009,1,36,36
401009,38,49,12
401009,56,59,4
401009,62,63,2
401012,11,12,2
401012,14,16,3
401012,18,35,18
401012,38,39,2
401012,41,63,23
401013,15,47,33
401013,49,52,4
401013,56,63,8
401015,16,30,15
401015,32,36,5
401015,38,45,8
401015,47,63,17
401017,26,47,22
401017,49,51,3
401017,55,63,9
401203,1,63,63
401208,8,63,56
401210,1,63,63
401212,1,61,61
401215,1,58,58
401216,1,48,48
401216,50,61,12
401217,14,61,48
401220,20,57,38
401220,60,61,2
402204,10,51,42
402204,53,63,11
402206,18,52,35
402206,54,55,2
402206,57,63,7
402213,13,39,27
402213,41,51,11
402213,54,58,5
402213,60,63,4
402217,13,51,39
403200,1,14,14
403200,16,27,12
403200,29,61,33
403205,1,4,4
403205,7,51,45
403205,53,60,8
403209A,8,13,6
403209A,16,56,41
403213,1,2,2
403213,4,6,3
403213,8,16,9
403213,18,52,35
403213,54,63,10
403214,4,5,2
403214,7,63,57
403217,11,51,41
403217,57,63,7
403221,7,52,46
403221,54,63,10
403222,8,51,44
403222,54,63,10
403223,11,61,51
403224,18,63,46
403226,10,34,25
403226,37,49,13
403226,51,58,8
403226,60,63,4
403230,8,52,45
403230,54,61,8
403232,15,34,20
403232,37,63,27
403233,15,51,37
403233,54,57,4
403233,59,61,3
404204,9,61,53
404207,3,63,61
405205,18,58,41
405205,60,63,4
405209,16,63,48
405212,4,15,12
405212,18,56,39
405212,58,62,5
405214,1,7,7
405214,10,63,54
405215,17,51,35
405215,53,58,6
405215,60,63,4
405217,18,55,38
405217,57,58,2
405217,60,63,4
405218,2,63,62
405219,10,49,40
405219,55,63,9
405226,17,60,44
405227,13,61,49
405228,18,63,46
405229,12,63,52
405230,16,55,40
405230,57,63,7
405231,17,37,21
405231,39,63,25
405234,8,13,6
405234,16,63,48
405237,6,47,42
405237,49,56,8
405237,60,61,2
405238,15,16,2
405238,18,57,40
405238,60,63,4
405240,18,34,17
405240,36,63,28
405241,16,63,48
405245,13,33,21
405245,35,63,29
405246,13,29,17
405246,33,51,19
405246,53,61,9
405248,14,63,50
405251,16,58,43
405251,60,63,4
405263,18,52,35
405264,18,63,46
405274,20,63,44
406208,1,63,63
406213,18,57,40
406213,60,63,4
406214,15,63,49
406224,18,53,36
406224,60,63,4
406226,21,40,20
406226,42,58,17
406226,60,63,4
406235,23,45,23
406235,47,49,3
406235,51,53,3
406235,56,57,2
406235,59,63,5
406250,26,49,24
406250,52,61,10
407213,15,35,21
407213,38,50,13
407213,54,63,10
407214,1,63,63
407215,18,36,19
407215,38,49,12
407215,51,56,6
407217,1,49,49
407217,51,52,2
407217,55,61,7
407220,16,52,37
407221,1,56,56
407221,59,61,3
407230,16,63,48
407246,16,57,42
407246,59,61,3
407253,16,42,27
407253,46,53,8
407253,55,63,9
408200,7,8,2
408200,13,63,51
408202,9,52,44
408202,54,56,3
408202,60,63,4
408206,30,63,34
410024,1,63,63
410026,11,14,4
410026,16,63,48
410033,7,63,57
410038,11,17,7
410038,20,63,44
410044,1,2,2
410044,4,10,7
410044,23,44,22
410044,53,54,2
410044,58,63,6
410047,6,9,4
410047,13,14,2
410047,22,63,42
410057,1,63,63
410061,1,63,63
410062,7,41,35
410062,43,63,21
410088,2,5,4
410088,10,63,54
410091,24,38,15
410091,40,50,11
410091,52,63,12
410141,25,54,30
410141,56,63,8
410156,28,63,36
410705,1,5,5
410705,7,61,55
410713,1,25,25
410713,27,29,3
410713,32,33,2
410713,35,61,27
410730,6,31,26
410730,33,63,31
410731,8,31,24
410731,36,48,13
410731,50,63,14
410734,9,36,28
410734,38,50,13
410734,52,63,12
410761,17,22,6
410761,24,42,19
410761,44,57,14
410761,59,63,5
411003,21,38,18
411003,40,43,4
411003,48,50,3
411003,52,55,4
411003,59,63,5
412028,3,40,38
412028,42,44,3
412028,46,55,10
412029,1,20,20
412029,24,41,18
412029,47,49,3
412029,51,56,6
412029,58,60,3
412029,62,63,2
412050,12,24,13
412050,26,45,20
412050,54,56,3
412050,58,63,6
412066,3,7,5
412066,9,10,2
412066,13,40,28
412066,43,46,4
412066,48,63,16
415201,7,9,3
415201,11,63,53
415206,1,49,49
415206,52,61,10
415207,6,62,57
415220,17,30,14
415220,32,36,5
415220,38,56,19
415220,59,63,5
415223,8,48,41
415223,50,54,5
415223,56,59,4
415226,14,51,38
415226,54,57,4
415226,59,63,5
415237,19,54,36
415237,56,63,8
415238,19,38,20
415238,40,50,11
415238,54,63,10
415245,28,61,34
416003,21,63,43
416008,21,25,5
416008,27,28,2
416008,31,52,22
416008,54,56,3
416010,18,63,46
416016,17,59,43
416016,61,63,3
416020,21,23,3
416020,25,28,4
416020,30,63,34
416023,21,23,3
416023,25,63,39
416032,16,29,14
416032,31,63,33
418005,14,63,50
418014,13,14,2
418014,16,18,3
418014,20,30,11
418014,33,63,31
418015,13,17,5
418015,19,24,6
418015,27,36,10
418015,39,63,25
418017,21,23,3
418017,26,29,4
418017,31,63,33
418021,20,21,2
418021,23,31,9
418021,33,63,31
418025,22,23,2
418025,25,63,39
418027,14,26,13
418027,30,63,34
419005,1,16,16
419005,18,20,3
419005,22,25,4
419005,27,31,5
419005,33,63,31
419010,22,31,10
419010,33,63,31
419016,16,30,15
419016,32,63,32
419029,21,25,5
419029,27,28,2
419029,33,53,21
419029,58,63,6
419035,24,25,2
419035,29,63,35
419054,17,30,14
419054,33,63,31
420003,18,19,2
420003,25,29,5
420003,33,42,10
420003,46,49,4
420003,52,54,3
420003,56,63,8
420017,24,30,7
420017,32,50,19
420017,52,54,3
420017,56,63,8
421018,17,20,4
421018,26,31,6
421018,33,54,22
421018,56,59,4
421018,61,63,3
421026,16,18,3
421026,20,25,6
421026,29,33,5
421026,36,39,4
421026,44,58,15
421026,61,63,3
421042,18,21,4
421042,23,30,8
421042,32,52,21
421042,54,63,10
421048,29,32,4
421048,34,45,12
421048,49,63,15
421050,20,23,4
421050,26,32,7
421050,34,35,2
421050,37,46,10
421050,48,60,13
422202B,1,63,63
422306A,1,63,63
422313B,15,36,22
422313B,38,56,19
422319B,11,36,26
422319B,38,63,26
422321B,15,60,46
422334A,12,62,51
422338A,17,63,47
422394A,15,63,49
424002,18,63,46
424201A,10,29,20
424201A,32,63,32
602004,19,63,45
603003,17,63,47
603004,26,63,38
603005,28,63,36
603007,28,63,36
603136,3,63,61
603190,5,63,59
604001,22,63,42
604053,1,63,63
605012,1,63,63
606001,18,63,46
606002,25,63,39
606185,6,40,35
606185,53,56,4
606195,6,62,57
607003,13,63,51
607004,17,63,47
607007,21,54,34
607007,58,63,6
607013,22,63,42
607144,4,63,60
607155,4,41,38
607155,50,54,5
607220,9,63,55
608002,18,63,46
608151,1,63,63
609002,12,63,52
609005,18,54,37
609005,58,63,6
609010,21,63,43
609018,26,63,38
610001,13,63,51
610008,20,40,21
610008,48,56,9
611004,23,63,41
611111,1,63,63
612001,11,63,53
612014,17,63,47
612025,25,63,39
612034,1,9,9
612034,14,63,50
612230,10,63,54
613002,13,63,51
613146,4,63,60
614006,14,21,8
614006,24,31,8
614006,33,52,20
614006,54,63,10
614037,26,63,38
614044,1,2,2
614044,4,5,2
614044,8,12,5
614044,14,17,4
614044,20,21,2
614044,23,63,41
614196,13,15,3
614196,17,22,6
614196,24,31,8
614196,33,63,31
614224,9,63,55
616001,11,13,3
616001,15,17,3
616001,19,49,31
616001,51,59,9
616001,61,63,3
616002,13,25,13
616002,27,62,36
616006,23,63,41
616013,15,19,5
616013,21,24,4
616013,26,58,33
616019,18,22,5
616019,24,63,40
616041,24,63,40
616065,13,15,3
616065,17,22,6
616065,24,25,2
616065,27,40,14
616065,51,55,5
616178,10,11,2
616178,14,19,6
616178,22,62,41
616216,9,62,54
617002,14,63,50
617003,15,18,4
617003,20,63,44
701002,13,63,51
701007,19,63,45
701009,25,31,7
701009,33,63,31
704139,1,63,63
704193,7,63,57
705001,17,33,17
705001,35,63,29
707002,15,63,49
707005,29,63,35
708011,23,63,41
709010,28,63,36
710003,17,21,5
710003,25,63,39
710229,10,14,5
710229,18,19,2
710229,21,22,2
710229,24,29,6
710229,31,63,33
802055,24,63,40
804001,15,17,3
804001,20,21,2
804001,26,27,2
804001,30,56,27
809310,12,21,10
809310,25,40,16
809310,44,63,20
809315,13,21,9
809315,24,63,40
809316,13,17,5
809316,19,21,3
809316,25,40,16
809316,43,63,21
809321,18,21,4
809321,24,63,40
809322,18,21,4
809322,24,40,17
809322,42,63,22
912101A,12,37,26
912101A,39,55,17
912105A,11,29,19
912105A,34,35,2
912105A,39,52,14
915011A,14,18,5
915011A,20,24,5
915011A,26,29,4
915011A,31,35,5
915011A,41,42,2
915011A,48,56,9
915206A,12,29,18
915206A,34,62,29
917107A,11,34,24
917107A,36,40,5
917107A,42,44,3
917107A,48,63,16
919003A,10,31,22
919003A,35,37,3
919003A,43,63,21
919005A,11,30,20
919005A,34,36,3
919005A,39,63,25
919201A,10,30,21
919201A,36,38,3
919201A,40,56,17
919201A,58,63,6
919309A,10,31,22
919309A,39,40,2
919309A,42,46,5
919309A,49,63,15
925001A,1,28,28
925001A,36,40,5
925001A,42,62,21
926002A,13,28,16
926002A,34,63,30
A0020101,9,26,18
A0020101,32,63,32
A0030501,16,63,48
A2390519,14,61,48
A2390523,16,33,18
A2390523,35,55,21
A2390531,19,58,40
A2390531,60,63,4
A4260533,16,17,2
A4260533,19,32,14
A4260533,34,52,19
A4260533,59,61,3
A5030502,12,61,50
A5040523,20,23,4
A5040523,25,30,6
A5040523,36,63,28
A5050517,22,36,15
A5050517,39,47,9
A5050517,49,54,6
A5050517,56,62,7
A5060500,17,19,3
A5060500,21,48,28
A5060500,50,63,14
A5070500,12,18,7
A5070500,20,50,31
A5070500,53,62,10
A5070503,15,27,13
A5070503,32,33,2
A5070503,35,36,2
A5070503,43,51,9
A5070503,54,63,10
A5090503,20,37,18
A5090503,39,48,10
A5090503,51,59,9
A5090503,61,63,3
A5130501,16,51,36
A5130501,53,61,9
G0010005,8,15,8
G0010005,17,18,2
G0010005,22,34,13
G0010005,36,39,4
G0010005,42,43,2
G0010005,49,52,4
G0050115,15,59,45
G0060005,17,38,22
G0060005,40,50,11
G0060005,53,55,3
G8110004,7,14,8
G8110004,21,39,19
G8110004,48,50,3
G8110004,53,58,6
G8110004,62,63,2
G8140001,4,12,9
G8140001,15,16,2
G8140001,18,22,5
G8140001,28,29,2
G8140001,32,41,10
G8140001,45,54,10
G8140001,56,63,8
G8140008,3,5,3
G8140008,7,10,4
G8140008,12,13,2
G8140008,16,28,13
G8140008,34,35,2
G8140008,37,38,2
G8140008,41,43,3
G8140008,52,55,4
G8140008,57,59,3
G8140011,17,23,7
G8140011,25,26,2
G8140011,30,37,8
G8140011,48,58,11
G8140011,61,63,3
G8140040,12,14,3
G8140040,17,18,2
G8140040,21,26,6
G8140040,28,38,11
G8140040,41,53,13
G8140040,55,56,2
G8140040,58,63,6
G8140063,1,3,3
G8140063,5,9,5
G8140063,14,17,4
G8140063,20,34,15
G8140063,36,40,5
G8140063,43,63,21
G8140067,7,8,2
G8140067,11,16,6
G8140067,18,20,3
G8140067,24,26,3
G8140067,28,30,3
G8140067,34,40,7
G8140067,44,46,3
G8140067,48,54,7
G8140067,56,63,8
G8150010,17,29,13
G8150010,33,34,2
G8150010,36,50,15
G8150010,52,63,12
G8150098,8,9,2
G8150098,12,41,30
G8150098,43,44,2
G8150098,46,49,4
G8150098,57,63,7
G8150180,12,15,4
G8150180,20,33,14
G8150180,35,37,3
G8150180,40,42,3
G8150180,44,63,20
G8170002,8,12,5
G8170002,16,19,4
G8170002,23,26,4
G8170002,29,35,7
G8170002,37,40,4
G8170002,47,51,5
G8170002,53,63,11
G9070142,10,12,3
G9070142,15,16,2
G9070142,18,23,6
G9070142,25,26,2
G9070142,28,32,5
G9070142,35,37,3
G9070142,51,60,10
