year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
1959,1676.14868305,NA,88.69590057028651,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1960,1686.16739044,NA,88.84407433817985,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1961,790.72988564,NA,75.60081412163083,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1962,1302.21884571,NA,83.16558705082818,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1963,1324.60660572,NA,83.49669550885989,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1964,1784.06595873,NA,90.2919656848592,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1965,1684.50656072,NA,88.81951114975024,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1966,1017.57782902,NA,78.9558292149972,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1967,1378.50397175,NA,84.29382187390007,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1968,1199.48046184,160.64856617861432,81.646116239605007,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1969,1220.2694694,161.26036996110815,81.95357961397235,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1970,1350.77528858,180.8583731522971,83.88372271598666,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1971,1411.86069407,404.909788259832,84.78715809366628,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1972,1579.72928332,244.89088369601097,87.26988569632492,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1973,2383.87510348,415.6965837038844,99.1629684534602,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1974,1239.3199543,360.5272185049299,82.23533074392807,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1975,2115.81764567,403.15235025739514,95.19847662936876,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1976,1642.09912111,360.8598598802173,88.19231745408496,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1977,1916.21367383,342.7998557634824,92.2463919499089,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1978,1270.30734581,152.56742008901995,82.69362525024393,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1979,1677.48157142,378.21533480964325,88.71561360154654,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1980,1372.64443471,211.21725835280185,84.20716102559602,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1981,1626.55736547,181.4249051752018,87.96245940920832,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1982,1765.9545941,344.39311391755297,90.02410387051017,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1983,1186.48180255,65.78399529243886,81.45386984996759,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1984,1728.05196314,307.4961006123392,89.46353498434628,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1985,2175.34000185,390.9789801030369,96.0787949624387,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1986,1305.72702058,149.90427674437666,83.21747193664045,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1987,1426.04960744,NA,84.99700799490641,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1988,1195.10355781,47.91936627714747,81.58138310222643,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1989,1691.73940204,273.76740083488875,88.92648276886638,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1990,1427.74516096,NA,85.022084738237,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1991,1338.47536787,NA,83.701810466687,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1992,1616.68917251,NA,87.81651170595059,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1993,1236.77407965,NA,82.19767799844006,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1994,1169.9391005,NA,81.20920809885865,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1995,1822.54409501,204.82811772669132,90.86104612729353,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1996,2183.61944857,461.5130704287402,96.20124557096722,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1997,1521.23673265,NA,86.40479788718127,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1998,1661.61494385,189.23209200284657,88.48095079532924,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1999,2338.41945554,426.74810589998617,98.49069264330669,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2000,2061.2923845,400.4694566021035,94.39206387786034,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2001,1397.37251035,335.7868606659158,84.57288207100629,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2002,983.55637466,NA,78.45266180172746,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2003,1371.53896774,NA,84.19081149068596,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2004,1378.80301116,242.6236309150742,84.29824457978452,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2005,1208.1187189299999,265.6126894046234,81.7738735491292,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2006,2557.63896945,564.9305937043223,101.73288548389354,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2007,1370.63715557,138.30891469165684,84.17747395102546,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2008,1338.49796386,159.2944028900665,83.702144654806,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2009,984.03432256,144.07931358222982,78.45973051213518,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2010,2300.63672015,NA,97.93189697774594,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2011,1645.2131179,434.85389566265013,88.23837256075896,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2012,1124.11877872,166.8845948057304,80.5315388686938,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2013,1501.89632434,235.07874524572281,86.11875887432929,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
2014,1360.41343459,326.6959423118773,84.0262680917737,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1959,1676.14868305,NA,-114.87747395893773,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1960,1686.16739044,NA,-114.87736516157294,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1961,790.72988564,NA,-114.88708909471752,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1962,1302.21884571,NA,-114.88153462059147,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1963,1324.60660572,NA,-114.88129150247275,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1964,1784.06595873,NA,-114.87630203977169,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1965,1684.50656072,NA,-114.87738319722263,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1966,1017.57782902,NA,-114.88462565732118,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1967,1378.50397175,NA,-114.88070620826613,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1968,1199.48046184,160.64856617861432,-114.88265029998928,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1969,1220.2694694,161.26036996110815,-114.88242454339702,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1970,1350.77528858,180.8583731522971,-114.88100732571976,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1971,1411.86069407,404.909788259832,-114.88034397356408,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1972,1579.72928332,244.89088369601097,-114.87852101782434,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1973,2383.87510348,415.6965837038844,-114.86978845954772,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1974,1239.3199543,360.5272185049299,-114.88221766615484,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1975,2115.81764567,403.15235025739514,-114.87269940842431,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1976,1642.09912111,360.8598598802173,-114.87784371747713,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1977,1916.21367383,342.7998557634824,-114.87486699205485,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1978,1270.30734581,152.56742008901995,-114.88188116101433,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1979,1677.48157142,378.21533480964325,-114.87745948454132,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1980,1372.64443471,211.21725835280185,-114.88076983944768,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1981,1626.55736547,181.4249051752018,-114.87801249194993,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1982,1765.9545941,344.39311391755297,-114.87649871871118,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1983,1186.48180255,65.78399529243886,-114.88279145790732,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1984,1728.05196314,307.4961006123392,-114.87691031935051,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1985,2175.34000185,390.9789801030369,-114.87205303007964,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1986,1305.72702058,149.90427674437666,-114.88149652384243,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1987,1426.04960744,NA,-114.88018989017549,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1988,1195.10355781,47.91936627714747,-114.88269783063429,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1989,1691.73940204,273.76740083488875,-114.87730465275128,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1990,1427.74516096,NA,-114.88017147744542,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1991,1338.47536787,NA,-114.88114089574115,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1992,1616.68917251,NA,-114.87811965481511,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1993,1236.77407965,NA,-114.88224531288034,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1994,1169.9391005,NA,-114.88297110207891,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1995,1822.54409501,204.82811772669132,-114.8758841894776,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1996,2183.61944857,461.5130704287402,-114.87196312007929,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1997,1521.23673265,NA,-114.87915621307708,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1998,1661.61494385,189.23209200284657,-114.87763178693528,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1999,2338.41945554,426.74810589998617,-114.8702820815808,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2000,2061.2923845,400.4694566021035,-114.87329152120881,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2001,1397.37251035,335.7868606659158,-114.88050130685548,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2002,983.55637466,NA,-114.88499511062854,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2003,1371.53896774,NA,-114.88078184417928,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2004,1378.80301116,242.6236309150742,-114.88070296087119,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2005,1208.1187189299999,265.6126894046234,-114.88255649351593,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2006,2557.63896945,564.9305937043223,-114.86790148451419,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2007,1370.63715557,138.30891469165684,-114.88079163733761,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2008,1338.49796386,159.2944028900665,-114.88114065036177,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2009,984.03432256,144.07931358222982,-114.88498992039091,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2010,2300.63672015,NA,-114.87069238022362,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2011,1645.2131179,434.85389566265013,-114.87780990127395,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2012,1124.11877872,166.8845948057304,-114.88346868425886,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2013,1501.89632434,235.07874524572281,-114.87936623871973,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
2014,1360.41343459,326.6959423118773,-114.88090266103134,102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,240.00503183046138
1959,1676.14868305,NA,-0.921526969541282,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1960,1686.16739044,NA,-0.7053609280301917,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1961,790.72988564,NA,-3.9877865926598193,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1962,1302.21884571,NA,-3.1884120772207134,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1963,1324.60660572,NA,-2.83232245500285,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1964,1784.06595873,NA,-0.9890588718439525,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1965,1684.50656072,NA,-0.7345797806897875,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1966,1017.57782902,NA,-3.147527302182227,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1967,1378.50397175,NA,-2.6163983823688017,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1968,1199.48046184,160.64856617861432,-3.106518214591925,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1969,1220.2694694,161.26036996110815,-3.1954854270764166,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1970,1350.77528858,180.8583731522971,-2.736652735621839,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1971,1411.86069407,404.909788259832,-2.351479783874858,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1972,1579.72928332,244.89088369601097,-1.5911726000945436,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1973,2383.87510348,415.6965837038844,1.6815821435276552,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1974,1239.3199543,360.5272185049299,-1.4937672079505098,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1975,2115.81764567,403.15235025739514,0.7100899504348749,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1976,1642.09912111,360.8598598802173,-0.3149698583446643,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1977,1916.21367383,342.7998557634824,0.3633632646815728,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1978,1270.30734581,152.56742008901995,-1.8264742803524237,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1979,1677.48157142,378.21533480964325,-1.04604364322118,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1980,1372.64443471,211.21725835280185,-1.9228172957677259,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1981,1626.55736547,181.4249051752018,-1.269707734596703,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1982,1765.9545941,344.39311391755297,-0.5248782002373843,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1983,1186.48180255,65.78399529243886,-2.4430864950093714,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1984,1728.05196314,307.4961006123392,-1.066462458730898,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1985,2175.34000185,390.9789801030369,1.0786696481190519,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1986,1305.72702058,149.90427674437666,-1.4501667517027679,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1987,1426.04960744,NA,-1.8602603522161572,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1988,1195.10355781,47.91936627714747,-2.8654621892274097,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1989,1691.73940204,273.76740083488875,-1.3463753696330918,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1990,1427.74516096,NA,-1.8185652292662047,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1991,1338.47536787,NA,-2.31391906697191,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1992,1616.68917251,NA,-1.4398606706632653,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
1993,1236.77407965,NA,-2.566140885813917,102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,238.1878590429456
